Ship Mode,Segment,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profitable
0,3,1,24,42420,0,2,5,261.96,2,0.0,41.9136,1
1,3,1,24,42420,0,2,0,731.94,3,0.0,219.582,1
2,3,0,5,90036,3,1,1,14.62,2,0.0,6.8714,1
3,1,1,2,33311,0,2,15,957.5775,5,0.45,-383.031,0
4,1,1,2,33311,0,1,14,22.368,2,0.2,2.5164,1
5,1,1,5,90032,3,2,8,48.86,7,0.0,14.1694,1
6,1,1,5,90032,3,1,3,7.28,4,0.0,1.9656,1
7,1,1,5,90032,3,0,16,907.152,6,0.2,90.7152,1
8,1,1,5,90032,3,1,9,18.504,3,0.2,5.7825,1
9,1,1,5,90032,3,1,13,114.9,5,0.0,34.47,1
10,1,1,5,90032,3,2,15,1706.184,9,0.2,85.3092,1
11,1,1,5,90032,3,0,16,911.424,4,0.2,68.3568,1
12,1,1,37,28027,0,1,10,15.552,3,0.2,5.4432,1
13,1,1,23,98103,3,1,9,407.976,3,0.2,132.5922,1
14,1,2,38,76106,1,1,13,68.81,5,0.8,-123.858,0
15,1,2,38,76106,1,1,9,2.544,3,0.8,-3.816,0
16,1,1,7,53711,1,1,14,665.88,6,0.0,13.3176,1
17,3,1,40,84084,3,1,14,55.5,2,0.0,9.99,1
18,3,1,5,94109,3,1,3,8.56,2,0.0,2.4824,1
19,3,1,5,94109,3,0,16,213.48,3,0.2,16.011,1
20,3,1,5,94109,3,1,9,22.72,4,0.2,7.384,1
21,1,0,21,68025,1,1,3,19.46,7,0.0,5.0596,1
22,1,0,21,68025,1,1,13,60.34,7,0.0,15.6884,1
23,3,1,44,19140,2,2,0,71.372,2,0.3,-1.0196,0
24,1,1,40,84057,3,2,15,1044.63,3,0.0,240.2649,1
25,3,1,5,90049,3,1,9,11.648,2,0.2,4.2224,1
26,3,1,5,90049,3,0,6,90.57,3,0.0,11.7741,1
27,1,1,44,19140,2,2,5,3083.43,7,0.5,-1665.0522,0
28,1,1,44,19140,2,1,9,9.618,2,0.7,-7.0532,0
29,1,1,44,19140,2,2,8,124.2,3,0.2,15.525,1
30,1,1,44,19140,2,1,7,3.264,2,0.2,1.1016,1
31,1,1,44,19140,2,1,3,86.304,6,0.2,9.7092,1
32,1,1,44,19140,2,1,9,6.858,6,0.7,-5.715,0
33,1,1,44,19140,2,1,3,15.76,2,0.2,3.546,1
34,3,2,38,77095,1,1,10,29.472,3,0.2,9.9468,1
35,2,0,38,75080,1,0,16,1097.544,7,0.2,123.4737,1
36,2,0,38,75080,1,2,8,190.92,5,0.6,-147.963,0
37,1,2,38,77041,1,1,7,113.328,9,0.2,35.415,1
38,1,2,38,77041,1,2,5,532.3992,3,0.32,-46.9764,0
39,1,2,38,77041,1,2,0,212.058,3,0.3,-15.147,0
40,1,2,38,77041,1,0,16,371.168,4,0.2,41.7564,1
41,1,0,30,60540,1,0,16,147.168,4,0.2,16.5564,1
42,1,0,5,90049,3,1,14,77.88,2,0.0,3.894,1
43,1,0,2,32935,0,1,14,95.616,2,0.2,9.5616,1
44,2,0,3,55122,1,0,6,45.98,2,0.0,19.7714,1
45,2,0,3,55122,1,1,9,17.46,2,0.0,8.2062,1
